accession	lab annotation	curated location	mapmapbin1 	mapmanname1	mapmapbin2	mapmanname2
GRMZM2G001551_P01   	GTP-binding protein	plastid	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G001551_P02   	GTP-binding protein	plastid	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G001653_P01   	psaO - 16kDa membrane protein	plastid	1.1.2.2	PS.lightreaction.photosystem I.PSI polypeptide subunits	NULL	NULL
GRMZM2G001750_P01   	unknown protein - alpha/beta hydrolase fold	plastid	35.2	not assigned.unknown	NULL	NULL
GRMZM2G001750_P02   	unknown protein - alpha/beta hydrolase fold	plastid	35.2	not assigned.unknown	NULL	NULL
GRMZM2G001750_P03   	unknown protein - alpha/beta hydrolase fold	plastid	35.2	not assigned.unknown	NULL	NULL
GRMZM2G001755_P01   	ClpP4	plastid stroma	29.5.5	protein.degradation.serine protease	NULL	NULL
GRMZM2G001904_P01   	5-formyltetrahydrofolate cyclo-ligase family protein	plastid	25.4	C1-metabolism.5-formyltetrahydrofolate cyclo-ligase	NULL	NULL
GRMZM2G001905_P01   	diadenosine 5',5'''-P1,P4-tetraphosphate hydrolase (NUDX26)	plastid	30.4.3	signalling.phosphinositides.bis(5-nucleosyl)-tetraphosphatase	NULL	NULL
GRMZM2G001905_P02   	diadenosine 5',5'''-P1,P4-tetraphosphate hydrolase (NUDX26)	plastid	30.4.3	signalling.phosphinositides.bis(5-nucleosyl)-tetraphosphatase	NULL	NULL
GRMZM2G001905_P03   	diadenosine 5',5'''-P1,P4-tetraphosphate hydrolase (NUDX26)	plastid	30.4.3	signalling.phosphinositides.bis(5-nucleosyl)-tetraphosphatase	NULL	NULL
GRMZM2G001918_P01   	TOC75-III (OEP75)	envelope-outer	29.3.3	protein.targeting.chloroplast	NULL	NULL
GRMZM2G001918_P02   	TOC75-III (OEP75)	envelope-outer	29.3.3	protein.targeting.chloroplast	NULL	NULL
GRMZM2G002165_P01   	Y3lP1 cooperates with Ycf3 for PSI assembly	thylakoid	29.8	protein assembly and cofactor ligation	NULL	NULL
GRMZM2G002165_P02   	Y3lP1 cooperates with Ycf3 for PSI assembly	thylakoid	29.8	protein assembly and cofactor ligation	NULL	NULL
GRMZM2G002165_P03   	Y3lP1 cooperates with Ycf3 for PSI assembly	thylakoid	29.8	protein assembly and cofactor ligation	NULL	NULL
GRMZM2G002178_P01   	allene oxide synthase (AOS)	plastoglobules	17.7.1.3	hormone metabolism.jasmonate.synthesis-degradation.allene oxidase synthase	NULL	NULL
GRMZM2G002178_P02   	allene oxide synthase (AOS)	plastoglobules	17.7.1.3	hormone metabolism.jasmonate.synthesis-degradation.allene oxidase synthase	NULL	NULL
GRMZM2G002220_P01   	cpHSP90-2	plastid stroma	29.6	protein.folding	NULL	NULL
GRMZM2G002642_P01   	PRORP1, RNaseP 	plastid	27.1.19	RNA.processing.ribonucleases	NULL	NULL
GRMZM2G002754_P01   	 ferredoxin-6, chloroplast 	plastid	26.3	misc.other Ferredoxins and Rieske domain	NULL	NULL
GRMZM2G002807_P01   	triosephosphate isomerase-1 (TPI-1) M-enriched	plastid stroma	1.3.5	PS.calvin cycle.TPI	4.8	glycolysis.TPI
GRMZM2G002879_P01   	methionine aminopeptidase MAP1B -  in Ath dual targeted mitochondria & plastid	plastid stroma	29.5.7	protein.degradation.metalloprotease	NULL	NULL
GRMZM2G002879_P01   	methionine aminopeptidase MAP1B -  in Ath dual targeted mitochondria & plastid	mitochondria	29.5.7	protein.degradation.metalloprotease	NULL	NULL
GRMZM2G002879_P02   	methionine aminopeptidase MAP1B -  in Ath dual targeted mitochondria & plastid	plastid stroma	29.5.7	protein.degradation.metalloprotease	NULL	NULL
GRMZM2G002879_P02   	methionine aminopeptidase MAP1B -  in Ath dual targeted mitochondria & plastid	mitochondria	29.5.7	protein.degradation.metalloprotease	NULL	NULL
GRMZM2G002879_P03   	methionine aminopeptidase MAP1B -  in Ath dual targeted mitochondria & plastid	plastid stroma	29.5.7	protein.degradation.metalloprotease	NULL	NULL
GRMZM2G002879_P03   	methionine aminopeptidase MAP1B -  in Ath dual targeted mitochondria & plastid	mitochondria	29.5.7	protein.degradation.metalloprotease	NULL	NULL
GRMZM2G002879_P04   	methionine aminopeptidase MAP1B -  in Ath dual targeted mitochondria & plastid	plastid stroma	29.5.7	protein.degradation.metalloprotease	NULL	NULL
GRMZM2G002879_P04   	methionine aminopeptidase MAP1B -  in Ath dual targeted mitochondria & plastid	mitochondria	29.5.7	protein.degradation.metalloprotease	NULL	NULL
GRMZM2G002879_P05   	methionine aminopeptidase MAP1B -  in Ath dual targeted mitochondria & plastid	plastid stroma	29.5.7	protein.degradation.metalloprotease	NULL	NULL
GRMZM2G002879_P05   	methionine aminopeptidase MAP1B -  in Ath dual targeted mitochondria & plastid	mitochondria	29.5.7	protein.degradation.metalloprotease	NULL	NULL
GRMZM2G003096_P01   	PSII core phosphatase PBCP	plastid	35.2	not assigned.unknown	NULL	NULL
GRMZM2G003096_P02   	PSII core phosphatase PBCP	plastid	35.2	not assigned.unknown	NULL	NULL
GRMZM2G003096_P03   	PSII core phosphatase PBCP	plastid	35.2	not assigned.unknown	NULL	NULL
GRMZM2G003096_P04   	PSII core phosphatase PBCP	plastid	35.2	not assigned.unknown	NULL	NULL
GRMZM2G003096_P05   	PSII core phosphatase PBCP	plastid	35.2	not assigned.unknown	NULL	NULL
GRMZM2G003109_P01   	anthranilate synthase (ASA1-like)	NULL	13.1.6.5.1	amino acid metabolism.synthesis.aromatic aa.tryptophan.anthranilate synthase	NULL	NULL
GRMZM2G003157_P01   	Elongation factor Tu with GTP-binding domain LepA 	plastid stroma	29.2.4	protein.synthesis.elongation	NULL	NULL
GRMZM2G003157_P02   	Elongation factor Tu with GTP-binding domain LepA 	plastid stroma	29.2.4	protein.synthesis.elongation	NULL	NULL
GRMZM2G003182_P01   	SIG2 sigma factor (Sig2-2)	plastid	27.2	RNA.transcription	NULL	NULL
GRMZM2G003246_P01   	carboxylesterase (ATCXE12)	plastid stroma	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G003318_P01   	fibrillin 2 (FIB2)	plastoglobules	31.7.4*	cell.plastid.plastoglobule organization fibrillins	NULL	NULL
GRMZM2G003318_P02   	fibrillin 2 (FIB2)	plastoglobules	31.7.4*	cell.plastid.plastoglobule organization fibrillins	NULL	NULL
GRMZM2G003765_P01   	DAG protein -related	plastid stroma	31.7.1*	cell.plastid.differentiation	NULL	NULL
GRMZM2G003765_P02   	DAG protein -related	plastid stroma	31.7.1*	cell.plastid.differentiation	NULL	NULL
GRMZM2G003765_P03   	DAG protein -related	plastid stroma	31.7.1*	cell.plastid.differentiation	NULL	NULL
GRMZM2G003765_P04   	DAG protein -related	plastid stroma	31.7.1*	cell.plastid.differentiation	NULL	NULL
GRMZM2G003869_P01   	PPR protein with Arc domain	plastid nucleoid	27.7*	RNA.misc.pentatricopeptide (PPR) repeat-containing protein	NULL	NULL
GRMZM2G003875_P01   	phosphoribosylamine--glycine ligase (PUR2)	plastid stroma	23.1.2.2	nucleotide metabolism.synthesis.purine.GAR Synthetase	NULL	NULL
GRMZM2G004006_P01   	thylakoid lumen 17.9 kDa protein	thylakoid-peripheral-lumenal-side	35.2	not assigned.unknown	NULL	NULL
GRMZM2G004006_P02   	thylakoid lumen 17.9 kDa protein	thylakoid-peripheral-lumenal-side	35.2	not assigned.unknown	NULL	NULL
GRMZM2G004131_P01   	geranylgeranyl pyrophosphate synthase 1 (GGPS1) 	plastid stroma	16.1.1.10	secondary metabolism.isoprenoids.non-mevalonate pathway.geranylgeranyl pyrophosphate synthase	NULL	NULL
GRMZM2G004222_P01   	heme oxygenase 2 (HO-2)	plastid	19.21	tetrapyrrole synthesis.heme oxygenase	NULL	NULL
GRMZM2G004222_P02   	heme oxygenase 2 (HO-2)	plastid	19.21	tetrapyrrole synthesis.heme oxygenase	NULL	NULL
GRMZM2G004222_P03   	heme oxygenase 2 (HO-2)	plastid	19.21	tetrapyrrole synthesis.heme oxygenase	NULL	NULL
GRMZM2G004352_P01   	expressed protein	plastid	35.2	not assigned.unknown	NULL	NULL
GRMZM2G004352_P02   	expressed protein	plastid	35.2	not assigned.unknown	NULL	NULL
GRMZM2G004382_P01   	ketol-acid reductoisomerase 	plastid stroma	13.1.4.1.2	amino acid metabolism.synthesis.branched chain group.common.ketol-acid reductoisomerase	NULL	NULL
GRMZM2G004382_P02   	ketol-acid reductoisomerase 	plastid stroma	13.1.4.1.2	amino acid metabolism.synthesis.branched chain group.common.ketol-acid reductoisomerase	NULL	NULL
GRMZM2G004583_P01   	Iojap-related	plastid stroma	29.2.7* 	protein.synthesis.ribosome biogenesis	NULL	NULL
GRMZM2G004880_P01   	PPDK regulatory protein (PPDK-RP)	plastid stroma	1.5*	PS. C4 malate shuttle.PPDK-RP	NULL	NULL
GRMZM2G005024_P01   	tryptophan synthase, beta subunit 1 (TSB1)	plastid stroma	13.1.6.5.5	amino acid metabolism.synthesis.aromatic aa.tryptophan.tryptophan synthase	NULL	NULL
GRMZM2G005260_P01   	UbiE/COQ5 methyltransferase family protein 	plastid	18.5	Co-factor and vitamine metabolism.folate & vitamine K	NULL	NULL
GRMZM2G005260_P02   	UbiE/COQ5 methyltransferase family protein 	plastid	18.5	Co-factor and vitamine metabolism.folate & vitamine K	NULL	NULL
GRMZM2G005260_P03   	UbiE/COQ5 methyltransferase family protein 	plastid	18.5	Co-factor and vitamine metabolism.folate & vitamine K	NULL	NULL
GRMZM2G005260_P04   	UbiE/COQ5 methyltransferase family protein 	plastid	16.1	secondary metabolism.isoprenoids	NULL	NULL
GRMZM2G005298_P01   	alpha-amylase- branching enzyme 1 ((BE1/EMB2729)	plastid	2.1.2.3	major CHO metabolism.synthesis.starch.starch branching	NULL	NULL
GRMZM2G005526_P01   	iron superoxide dismutase (FSD3)	plastid	21.6	redox.dismutases and catalases	NULL	NULL
GRMZM2G005526_P02   	iron superoxide dismutase (FSD3)	plastid	21.6	redox.dismutases and catalases	NULL	NULL
GRMZM2G005526_P03   	iron superoxide dismutase (FSD3)	plastid	21.6	redox.dismutases and catalases	NULL	NULL
GRMZM2G005909_P01   	geranylgeranyl pyrophosphate synthase 1 (GGPS1) 	plastid stroma	16.1.1.10	secondary metabolism.isoprenoids.non-mevalonate pathway.geranylgeranyl pyrophosphate synthase	NULL	NULL
GRMZM2G005938_P01   	PPR protein	plastid nucleoid	27.7*	RNA.misc.pentatricopeptide (PPR) repeat-containing protein	NULL	NULL
GRMZM2G005973_P01   	50S ribosomal protein L1	plastid ribosome	29.2.1.1.1.2.1	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L1	NULL	NULL
GRMZM2G005973_P02   	50S ribosomal protein L1	plastid ribosome	29.2.1.1.1.2.1	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L1	NULL	NULL
GRMZM2G005984_P01   	PSII Lumen Tat lTP -1	thylakoid-peripheral-lumenal-side	1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits	NULL	NULL
GRMZM2G006121_P01   	expressed protein	plastid	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G006121_P02   	expressed protein	plastid	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G006229_P01   	homologue of Ath SVR4/MRL7 - thioredoxin domain	plastid	29.8	protein assembly and cofactor ligation	NULL	NULL
GRMZM2G006229_P02   	homologue of Ath SVR4/MRL7 - thioredoxin domain	plastid	29.8	protein assembly and cofactor ligation	NULL	NULL
GRMZM2G006791_P01   	thylakoid bound APX (t-APX) - M-enriched	thylakoid-integral	21.2.1	redox.ascorbate and glutathione.ascorbate	NULL	NULL
GRMZM2G006791_P02   	thylakoid bound APX (t-APX) - M-enriched	thylakoid-integral	21.2.1	redox.ascorbate and glutathione.ascorbate	NULL	NULL
GRMZM2G006791_P03   	thylakoid bound APX (t-APX) - M-enriched	thylakoid-integral	21.2.1	redox.ascorbate and glutathione.ascorbate	NULL	NULL
GRMZM2G006791_P04   	thylakoid bound APX (t-APX) - M-enriched	thylakoid-integral	21.2.1	redox.ascorbate and glutathione.ascorbate	NULL	NULL
GRMZM2G006791_P05   	thylakoid bound APX (t-APX) - M-enriched	thylakoid-integral	21.2.1	redox.ascorbate and glutathione.ascorbate	NULL	NULL
GRMZM2G007038_P02   	translation initiation factor IF-2	plastid stroma	29.2.3	protein.synthesis.initiation	NULL	NULL
GRMZM2G007372_P01   	PPR protein	plastid nucleoid	27.7*	RNA.misc.pentatricopeptide (PPR) repeat-containing protein	NULL	NULL
GRMZM2G007441_P01   	cpSRP43	plastid stroma	29.3.3	protein.targeting.chloroplast	NULL	NULL
GRMZM2G007453_P01   	APO1 - model .4 correct (DNA Barkan)	plastid	27.1.1	RNA.processing.splicing	NULL	NULL
GRMZM2G007453_P02   	APO1 - model .4 correct (DNA Barkan)	plastid	27.1.1	RNA.processing.splicing	NULL	NULL
GRMZM2G007453_P03   	APO1 - model .4 correct (DNA Barkan)	plastid	27.1.1	RNA.processing.splicing	NULL	NULL
GRMZM2G007453_P04   	APO1 - model .4 correct (DNA Barkan)	plastid	27.1.1	RNA.processing.splicing	NULL	NULL
GRMZM2G007630_P01   	pfkB type carbohydrate kinase	plastid stroma	3.5	minor CHO metabolism.others	NULL	NULL
GRMZM2G007647_P01   	acetolactate synthase small subunit 	plastid	13.1.4.1.1	amino acid metabolism.synthesis.branched chain group.common.acetolactate synthase	NULL	NULL
GRMZM2G007651_P01   	Pyridoxamine 5'-phosphate oxidase-related	plastid stroma	18.20* 	Co-factor and vitamine metabolism.vitamin b6	NULL	NULL
GRMZM2G007651_P02   	Pyridoxamine 5'-phosphate oxidase-related	plastid stroma	18.20* 	Co-factor and vitamine metabolism.vitamin b6	NULL	NULL
GRMZM2G007651_P03   	Pyridoxamine 5'-phosphate oxidase-related	plastid stroma	18.20* 	Co-factor and vitamine metabolism.vitamin b6	NULL	NULL
GRMZM2G007683_P01   	sulfiredoxin (Srx)	plastid	21	redox	NULL	NULL
GRMZM2G007683_P02   	sulfiredoxin (Srx)	plastid	21	redox	NULL	NULL
GRMZM2G007683_P03   	sulfiredoxin (Srx)	plastid	21	redox	NULL	NULL
GRMZM2G007907_P01   	EGY1 - M50 metalloprotease	thylakoid-integral	29.5.7	protein.degradation.metalloprotease	NULL	NULL
GRMZM2G007907_P02   	EGY1 - M50 metalloprotease	thylakoid-integral	29.5.7	protein.degradation.metalloprotease	NULL	NULL
GRMZM2G007907_P03   	EGY1 - M50 metalloprotease	thylakoid-integral	29.5.7	protein.degradation.metalloprotease	NULL	NULL
GRMZM2G007939_P01   	beta-amylase 3 (BAM3 or BMY8 or ctBMY)	plastid	2.2.2.1	major CHO metabolism.degradation.starch.starch cleavage	NULL	NULL
GRMZM2G007939_P02   	beta-amylase 3 (BAM3 or BMY8 or ctBMY)	plastid	2.2.2.1	major CHO metabolism.degradation.starch.starch cleavage	NULL	NULL
GRMZM2G007939_P03   	beta-amylase 3 (BAM3 or BMY8 or ctBMY)	plastid	2.2.2.1	major CHO metabolism.degradation.starch.starch cleavage	NULL	NULL
GRMZM2G007939_P04   	beta-amylase 3 (BAM3 or BMY8 or ctBMY)	plastid	2.2.2.1	major CHO metabolism.degradation.starch.starch cleavage	NULL	NULL
GRMZM2G008247_P01   	glycosyl hydrolase 	plastid	2	major CHO metabolism	NULL	NULL
GRMZM2G008247_P02   	glycosyl hydrolase 	plastid	2	major CHO metabolism	NULL	NULL
GRMZM2G008263_P01   	granule-associated starch synthase (GBSS)	plastid stroma	2.1.2.2	major CHO metabolism.synthesis.starch.starch synthase	NULL	NULL
GRMZM2G008263_P02   	granule-associated starch synthase (GBSS)	plastid stroma	2.1.2.2	major CHO metabolism.synthesis.starch.starch synthase	NULL	NULL
GRMZM2G008263_P03   	granule-associated starch synthase (GBSS)	plastid stroma	2.1.2.2	major CHO metabolism.synthesis.starch.starch synthase	NULL	NULL
GRMZM2G008714_P01   	pyruvate kinase (PK) (plastid base)	plastid	4.13	glycolysis.PK	NULL	NULL
GRMZM2G008892_P01   	Psbq-like 3 (PQL3)	plastid	35.2	not assigned.unknown	NULL	NULL
GRMZM2G009048_P01   	Photosystem I subunit N (psaN)	thylakoid-peripheral-lumenal-side	1.1.2.2	PS.lightreaction.photosystem I.PSI polypeptide subunits	NULL	NULL
GRMZM2G009070_P01   	MurE-like 	plastid nucleoid	28.3*	DNA.plastid nucleoid interacting	NULL	NULL
GRMZM2G009196_P01   	riboflavin synthase alpha chain -related -2	plastid	18.3.2	Co-factor and vitamine metabolism.riboflavin.riboflavin synthase	NULL	NULL
GRMZM2G009223_P01   	glucose-6-phosphate/Pi transporter 2 (GPT2) (base)	envelope-inner-integral	34.8	transport.metabolite transporters at the envelope membrane	NULL	NULL
GRMZM2G009320_P01   	unknown protein -1	plastid stroma	35.2	not assigned.unknown	NULL	NULL
GRMZM2G009320_P02   	unknown protein -1	plastid stroma	35.2	not assigned.unknown	NULL	NULL
